name,sex,total
כרמל,F,4747
קארין,F,4740
יפית,F,4737
אמנון,M,4724
חנין,F,4710
אדוארד,M,4708
אהובה,F,4702
מעיין,M,4693
מקסים,M,4688
אולג,M,4685
נור,M,4678
בארי,M,4660
יהב,M,4651
סמירה,F,4642
סמיר,M,4612
מישל,F,4608
עדן,M,4601
סנא,F,4597
שלו,M,4593
לריסה,F,4592
וופא,F,4572
לי,F,4565
רחמים,M,4565
ג'וד,M,4560
באסם,M,4538
זינב,F,4535
אלכסנדרה,F,4524
סהר,M,4519
אלברט,M,4514
אריק,M,4474
אורין,F,4471
אילת,F,4465
סמר,M,4426
אריאלה,F,4411
אדוה,F,4402
שירין,F,4398
טארק,M,4393
הדיל,F,4393
הודא,F,4384
עילי,M,4383
שפרה,F,4367
נסרין,F,4367
גליה,F,4344
ליעד,M,4314
חוסאם,M,4313
אמין,M,4308
כרים,M,4291
גדעון,M,4274
מירי,F,4262
עדנה,F,4234
וסאם,M,4233
מרגלית,F,4228
וסים,M,4216
שון,M,4212
באסל,M,4211
נינה,F,4163
אלינה,F,4160
נדין,F,4156
אסראא,F,4151
עאישה,F,4120
מוראד,M,4086
סלים,M,4083
רנא,F,4083
עודאי,M,4063
קורל,F,4048
לירז,F,4046
תאיר,F,4046
רחלי,F,4042
אוסאמה,M,4035
רהף,F,4024
אווה,F,4022
ליאב,M,4014
לינא,F,3989
ארבל,F,3981
ביאן,F,3981
זינה,F,3973
מנשה,M,3952
ריאן,M,3950
נחום,M,3947
אנס,M,3938
ראם,M,3923
זיאד,M,3917
מלאכי,M,3905
עדינה,F,3902
איאד,M,3890
נילי,F,3887
הילי,F,3884
מרווה,F,3872
גריגורי,M,3869
איליי,M,3862
אושרי,M,3859
פארס,M,3859
גד,M,3840
יקיר,M,3833
שוהם,F,3813
גיטל,F,3791
רואי,M,3780
נאסר,M,3765
נורה,F,3746
תאלא,F,3743
עאדל,M,3741
ספא,F,3733
שליו,M,3731
אודל,F,3711
דועאא,F,3706
רימא,F,3703
דימא,F,3697
פואד,M,3664
רונה,F,3664
יבגניה,F,3651
דריה,F,3632
אשרף,M,3616
לידור,M,3606
יוחאי,M,3582
יסכה,F,3572
בת,F,3538
ליאל,M,3529
אלרואי,M,3525
אוריאן,F,3525
נאדיה,F,3522
זיו,F,3499
רותי,F,3484
איהאב,M,3471
מהא,F,3470
עמיחי,M,3467
סמר,F,3463
עדנאן,M,3457
נמרוד,M,3455
מירה,F,3448
אדהם,M,3436
כרמלה,F,3436
חנן,M,3436
אנאל,F,3432
תאמר,M,3428
דין,M,3416
רנין,F,3413
רוזה,F,3409
ביסאן,F,3408
אחלאם,F,3399
נדא,F,3388
ג'ורי,F,3383
רוית,F,3378
אליאור,M,3369
פרידה,F,3367
זיוה,F,3361
עקיבא,M,3361
שניאור,M,3360
הנא,F,3355
איאת,F,3353
עיסא,M,3347
פרח,F,3343
האני,M,3341
עאמר,M,3336
איסמאיל,M,3324
ניצן,M,3317
הללי,F,3307
רואן,F,3305
אלכסיי,M,3298
מרגריטה,F,3297
ליהיא,F,3295
קרין,F,3294
