name,sex,sector,total
אוסנת,F,Jewish,2763
יקטרינה,F,Jewish,2762
אדהם,M,Muslim,2761
יוחנן,M,Jewish,2760
תאמר,M,Muslim,2760
סער,M,Jewish,2757
אוראל,F,Jewish,2757
הרצל,M,Jewish,2748
מועתז,M,Muslim,2747
קאסם,M,Muslim,2740
תסנים,F,Muslim,2739
שימאא,F,Muslim,2736
סמיון,M,Jewish,2732
ראיד,M,Muslim,2727
עמליה,F,Jewish,2720
איהאב,M,Muslim,2720
סוזן,F,Jewish,2717
רנין,F,Muslim,2717
עירית,F,Jewish,2701
רגד,F,Muslim,2697
יאנה,F,Jewish,2695
הנא,F,Muslim,2695
סברין,F,Muslim,2686
מיאל,F,Jewish,2679
ריתאל,F,Muslim,2675
לורן,F,Jewish,2672
עיסא,M,Muslim,2668
גזל,F,Muslim,2666
אנטולי,M,Jewish,2663
גאולה,F,Jewish,2659
רם,M,Jewish,2653
ריף,M,Jewish,2649
פואד,M,Muslim,2648
ודים,M,Jewish,2643
יהל,F,Jewish,2642
אודיה,F,Jewish,2617
סילביה,F,Jewish,2611
עידית,F,Jewish,2610
ליודמילה,F,Jewish,2609
מיאר,F,Muslim,2601
רשא,F,Muslim,2594
יאסין,M,Muslim,2589
גנאדי,M,Jewish,2586
סועאד,F,Muslim,2570
מאהר,M,Muslim,2561
סיהאם,F,Muslim,2560
אלישע,M,Jewish,2555
אן,F,Jewish,2552
פיראס,M,Muslim,2550
האני,M,Muslim,2550
פרח,F,Muslim,2548
ויטלי,M,Jewish,2546
אלי,F,Jewish,2544
חנוך,M,Jewish,2541
לואי,M,Muslim,2536
רזאן,F,Muslim,2534
ג'ואד,M,Muslim,2533
כוכבה,F,Jewish,2531
סנד,M,Muslim,2519
עמנואל,F,Jewish,2513
ריטה,F,Jewish,2509
שרי,F,Jewish,2504
בלומה,F,Jewish,2503
ארבל,M,Jewish,2497
יוסרא,F,Muslim,2486
תאופיק,M,Muslim,2480
יוגב,M,Jewish,2479
לני,F,Jewish,2470
אלדד,M,Jewish,2469
דולב,M,Jewish,2462
ירין,F,Jewish,2456
תקוה,F,Jewish,2449
לירוי,M,Jewish,2445
מרואן,M,Muslim,2441
יאן,M,Jewish,2440
זייד,M,Muslim,2438
אמינה,F,Muslim,2437
סתיו,M,Jewish,2434
תמי,F,Jewish,2426
יאסר,M,Muslim,2426
יונה,F,Jewish,2425
אליאן,F,Jewish,2423
סימון,M,Jewish,2420
קובי,M,Jewish,2420
ורדה,F,Jewish,2419
ולרי,M,Jewish,2417
יונה,M,Jewish,2414
סחר,F,Muslim,2414
ניסן,M,Jewish,2412
טום,M,Jewish,2402
אמג'ד,M,Muslim,2396
מייס,F,Muslim,2392
הדר,M,Jewish,2390
ליליה,F,Jewish,2377
שניר,M,Jewish,2355
ג'יהאד,M,Muslim,2348
אופק,F,Jewish,2344
למא,F,Muslim,2343
אינס,F,Muslim,2335
רואה,F,Muslim,2332
ליב,F,Jewish,2329
סגלית,F,Jewish,2325
לין,F,Jewish,2323
יאמן,M,Muslim,2316
יארא,F,Muslim,2311
ראניה,F,Muslim,2311
קורן,M,Jewish,2295
אלן,M,Jewish,2290
עדיאל,M,Jewish,2287
דלאל,F,Muslim,2286
רעיה,F,Jewish,2282
אליזבט,F,Jewish,2277
נביל,M,Muslim,2276
רימאס,F,Muslim,2269
גבריאלה,F,Jewish,2265
עפרה,F,Jewish,2264
מוריס,M,Jewish,2263
רז,F,Jewish,2261
רני,M,Jewish,2260
גולדה,F,Jewish,2255
אנדריי,M,Jewish,2253
שיינא,F,Jewish,2252
ג'מיל,M,Muslim,2250
הישאם,M,Muslim,2249
שירז,F,Jewish,2245
דורין,F,Jewish,2242
רפי,M,Jewish,2240
אמיליה,F,Jewish,2237
יונס,M,Muslim,2236
נטע,M,Jewish,2234
סיף,M,Muslim,2234
ליבא,F,Jewish,2233
עמראן,M,Muslim,2232
מישל,M,Jewish,2231
אחיה,M,Jewish,2230
אלנה,F,Jewish,2228
בשאר,M,Muslim,2225
נואל,F,Muslim,2225
רהאם,F,Muslim,2223
מאי,F,Muslim,2215
ואיל,M,Muslim,2214
ציונה,F,Jewish,2211
ברוריה,F,Jewish,2206
אנסטסיה,F,Jewish,2204
צילה,F,Jewish,2204
גרשון,M,Jewish,2203
עופרה,F,Jewish,2201
אסלאם,F,Muslim,2188
לנא,F,Muslim,2188
נאיה,F,Jewish,2186
סילין,F,Muslim,2184
אושרית,F,Jewish,2182
רני,F,Jewish,2176
רון,F,Jewish,2176
ישעיהו,M,Jewish,2172
עטרה,F,Jewish,2171
ירדנה,F,Jewish,2171
חי,M,Jewish,2163
מירא,F,Muslim,2161
בצלאל,M,Jewish,2153
שוהם,M,Jewish,2149
ליזה,F,Jewish,2149
יריב,M,Jewish,2144
יעלה,F,Jewish,2141
עולא,F,Muslim,2141
לבנה,F,Jewish,2135
אבתיסאם,F,Muslim,2131
סלמא,F,Muslim,2131
אחינועם,F,Jewish,2128
חדיגה,F,Muslim,2126
נרמין,F,Muslim,2117
ריי,M,Jewish,2110
משי,F,Jewish,2105
הינדא,F,Jewish,2104
סואר,F,Muslim,2103
סטניסלב,M,Jewish,2101
מילה,F,Jewish,2100
דוניא,F,Muslim,2099
ורד,M,Muslim,2098
אביבית,F,Jewish,2094
ויאצ'סלב,M,Jewish,2089
ראיסה,F,Jewish,2083
נסים,M,Muslim,2081
יהל,M,Jewish,2080
למאר,F,Muslim,2076
פידא,F,Muslim,2075
ולדיסלב,M,Jewish,2075
חנניה,M,Jewish,2067
אלכס,M,Jewish,2066
היאם,F,Muslim,2065
ריאד,M,Muslim,2062
אנוור,F,Muslim,2056
עוזי,M,Jewish,2056
גיל,F,Jewish,2055
סולימאן,M,Druze,2054
עיסאם,M,Muslim,2053
רנה,F,Jewish,2049
חני,F,Jewish,2045
צליל,F,Jewish,2044
אבינועם,M,Jewish,2042
נידאל,M,Muslim,2040
אושר,F,Jewish,2040
אדר,M,Jewish,2039
אדר,F,Jewish,2037
קלרה,F,Jewish,2029
דניס,M,Jewish,2020
היית'ם,M,Muslim,2012
סונדוס,F,Muslim,2010
ים,M,Jewish,2010
אבירם,M,Jewish,2009
מאג'ד,M,Muslim,2007
סול,F,Jewish,2005
קייס,M,Muslim,2004
סירין,F,Muslim,2004
ניצה,F,Jewish,2003
יפים,M,Jewish,2002
דקלה,F,Jewish,1998
ניב,F,Jewish,1993
מילא,F,Muslim,1992
דינא,F,Muslim,1984
מוניר,M,Muslim,1980
איוב,M,Muslim,1979
עופרי,M,Jewish,1970
נירית,F,Jewish,1969
סוהא,F,Muslim,1969
סוניה,F,Jewish,1968
בהאא,M,Muslim,1966
ליובוב,F,Jewish,1957
נאדר,M,Muslim,1951
מיראל,F,Muslim,1947
דלית,F,Jewish,1934
מיתר,F,Jewish,1930
אכרם,M,Muslim,1926
עמי,M,Jewish,1923
צור,M,Jewish,1911
יוני,M,Jewish,1911
הלן,F,Jewish,1911
נח,M,Jewish,1908
לינדה,F,Jewish,1906
טוביה,M,Jewish,1906
לידיה,F,Jewish,1904
תאלין,F,Muslim,1899
גידאא,F,Muslim,1896
ארתור,M,Jewish,1894
לאון,M,Jewish,1892
נלי,F,Jewish,1891
שגית,F,Jewish,1889
ימית,F,Jewish,1889
פליקס,M,Jewish,1888
עוביידה,M,Muslim,1886
דיקלה,F,Jewish,1883
ענהאל,F,Jewish,1876
סוזאן,F,Muslim,1875
סמא,F,Muslim,1861
ששון,M,Jewish,1849
מאור,F,Jewish,1838
ערין,F,Muslim,1836
לירי,F,Jewish,1833
פאינה,F,Jewish,1824
עומרי,M,Muslim,1823
רביע,M,Muslim,1822
אבשלום,M,Jewish,1820
אריג',F,Muslim,1818
רגינה,F,Jewish,1814
